timestamp x_robot y_robot z_robot roll_robot pitch_robot yaw_robot x_rgbd y_rgbd z_rgbd roll_rgbd pitch_rgbd yaw_rgbd
1789257240215 -0.0229 -0.2220 0.5056 30.0000 1.3679 -10.8120 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257245297 -0.0157 -0.1877 0.5065 30.0000 1.3679 -8.8097 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257250386 -0.0097 -0.1532 0.5073 30.0000 1.3679 -6.8076 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257255484 -0.0050 -0.1185 0.5081 30.0000 1.3679 -4.8054 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257260556 -0.0015 -0.0837 0.5090 30.0000 1.3679 -2.8031 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257265673 0.0009 -0.0487 0.5098 30.0000 1.3679 -0.8009 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257270736 0.0019 -0.0137 0.5106 30.0000 1.3679 1.2014 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257275901 0.0018 0.0213 0.5115 30.0000 1.3679 3.2035 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257280987 0.0005 0.0563 0.5123 30.0000 1.3679 5.2058 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257286148 -0.0021 0.0912 0.5131 30.0000 1.3679 7.2080 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257291233 -0.0059 0.1260 0.5140 30.0000 1.3679 9.2103 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257296300 -0.0109 0.1607 0.5148 30.0000 1.3679 11.2124 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257301424 -0.0171 0.1951 0.5157 30.0000 1.3679 13.2147 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257306550 -0.0246 0.2293 0.5165 30.0000 1.3679 15.2169 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257311642 -0.0332 0.2633 0.5173 30.0000 1.3679 17.2192 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257316736 -0.0430 0.2969 0.5182 30.0000 1.3679 19.2214 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257321819 -0.0539 0.3301 0.5190 30.0000 1.3679 21.2235 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257326911 -0.0660 0.3630 0.5198 30.0000 1.3679 23.2258 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257332030 -0.0793 0.3954 0.5207 30.0000 1.3679 25.2280 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257337134 -0.0937 0.4273 0.5215 30.0000 1.3679 27.2303 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257342202 -0.1091 0.4587 0.5223 30.0000 1.3679 29.2324 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257347331 -0.1257 0.4896 0.5232 30.0000 1.3679 31.2347 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257352417 -0.1433 0.5198 0.5240 30.0000 1.3679 33.2369 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257357490 -0.1620 0.5494 0.5248 30.0000 1.3679 35.2392 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257362601 -0.1817 0.5784 0.5257 30.0000 1.3679 37.2414 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257367744 -0.2025 0.6066 0.5265 30.0000 1.3679 39.2436 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257372836 -0.2241 0.6341 0.5273 30.0000 1.3679 41.2458 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257377926 -0.2468 0.6608 0.5282 30.0000 1.3679 43.2481 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257382980 -0.2703 0.6868 0.5290 30.0000 1.3679 45.2503 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257388057 -0.2947 0.7118 0.5298 30.0000 1.3679 47.2525 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257393159 -0.3200 0.7360 0.5307 30.0000 1.3679 49.2547 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257398272 -0.3462 0.7593 0.5315 30.0000 1.3679 51.2569 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257403354 -0.3731 0.7817 0.5323 30.0000 1.3679 53.2592 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257408479 -0.4008 0.8031 0.5332 30.0000 1.3679 55.2614 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257413574 -0.4292 0.8236 0.5340 30.0000 1.3679 57.2637 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257418681 -0.4584 0.8430 0.5348 30.0000 1.3679 59.2658 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257423775 -0.4881 0.8614 0.5357 30.0000 1.3679 61.2681 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257428869 -0.5185 0.8788 0.5365 30.0000 1.3679 63.2703 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257433978 -0.5495 0.8951 0.5373 30.0000 1.3679 65.2726 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257439069 -0.5811 0.9103 0.5382 30.0000 1.3679 67.2747 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257444144 -0.6132 0.9244 0.5390 30.0000 1.3679 69.2770 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257449235 -0.6457 0.9373 0.5398 30.0000 1.3679 71.2792 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257454309 -0.6786 0.9491 0.5407 30.0000 1.3679 73.2814 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257459421 -0.7120 0.9598 0.5415 30.0000 1.3679 75.2837 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257464557 -0.7457 0.9692 0.5423 30.0000 1.3679 77.2858 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257469644 -0.7797 0.9775 0.5432 30.0000 1.3679 79.2881 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257474733 -0.8140 0.9846 0.5440 30.0000 1.3679 81.2903 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257479794 -0.8485 0.9905 0.5448 30.0000 1.3679 83.2926 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257484896 -0.8832 0.9952 0.5457 30.0000 1.3679 85.2947 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257489963 -0.9181 0.9987 0.5465 30.0000 1.3679 87.2970 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257495045 -0.9530 1.0009 0.5474 30.0000 1.3679 89.2992 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257500144 -0.9880 1.0020 0.5482 30.0000 1.3679 91.3015 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257505232 -1.0230 1.0018 0.5490 30.0000 1.3679 93.3037 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257510307 -1.0580 1.0004 0.5499 30.0000 1.3679 95.3059 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257515414 -1.0929 0.9977 0.5507 30.0000 1.3679 97.3081 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257520517 -1.1277 0.9939 0.5515 30.0000 1.3679 99.3103 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257525600 -1.1624 0.9888 0.5524 30.0000 1.3679 101.3126 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257530670 -1.1968 0.9825 0.5532 30.0000 1.3679 103.3148 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
1789257535771 -1.2310 0.9750 0.5540 30.0000 1.3679 105.3170 1.5000 0.0000 1.5000 -125.0000 180.0000 -90.0000
