frame_id,valid_prediction,error_msg,translation_error_m,geodesic_rotation_error_deg,roll_error_deg,pitch_error_deg,yaw_error_deg,translation_loss,rotation_loss,beta,weighted_pose_loss,inference_runtime_seconds,viewing_angle_deg,dx_m,dy_m,dz_m,gt_x,gt_y,gt_z,gt_roll_deg,gt_pitch_deg,gt_yaw_deg,est_x,est_y,est_z,est_roll_deg,est_pitch_deg,est_yaw_deg,world_marker_x,world_marker_y,world_marker_z,world_marker_roll_deg,world_marker_pitch_deg,world_marker_yaw_deg,world_camera_x,world_camera_y,world_camera_z,world_camera_roll_deg,world_camera_pitch_deg,world_camera_yaw_deg
1789254629158,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,29.562346906282958,nan,nan,nan,0.9422000000000003,-0.08339625875601814,2.57701349317878,156.62778159305597,13.784942210511517,11.642184389558379,nan,nan,nan,nan,nan,nan,-0.6588,0.9422,0.0902,30.0,1.3679,72.0801,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254634846,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,30.20231886797891,nan,nan,nan,0.9535000000000002,-0.10303696043466892,2.6036685646956648,156.3057285846765,12.175165712267194,10.421346988167224,nan,nan,nan,nan,nan,nan,-0.6919,0.9535,0.091,30.0,1.3679,74.0823,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254640389,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,30.87770727962061,nan,nan,nan,0.9637000000000002,-0.12290709268786021,2.630651297030265,156.02044946532496,10.55910832076144,9.216621016678394,nan,nan,nan,nan,nan,nan,-0.7254,0.9637,0.0918,30.0,1.3679,76.0845,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254645847,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,31.58571782525768,nan,nan,nan,0.9727000000000002,-0.14308857072002074,2.657904332538946,155.7709930690706,8.937477352380606,8.025828197420875,nan,nan,nan,nan,nan,nan,-0.7593,0.9727,0.0927,30.0,1.3679,78.0868,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254651282,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,32.318008304597825,nan,nan,nan,0.9805000000000003,-0.1633028488350226,2.6853785561001198,155.55657929778047,7.3111912533818915,6.847030629396874,nan,nan,nan,nan,nan,nan,-0.7934,0.9805,0.0935,30.0,1.3679,80.089,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254656702,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,33.07398723993693,nan,nan,nan,0.9871000000000002,-0.18368919988092974,2.7130985252745803,155.37652059061423,5.680898507086884,5.678164512533047,nan,nan,nan,nan,nan,nan,-0.8278,0.9871,0.0943,30.0,1.3679,82.0912,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254662165,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,33.85187240603374,nan,nan,nan,0.9925000000000003,-0.20427218141853604,2.7409249672142635,155.23027027103143,4.0473060065242645,4.517269127868678,nan,nan,nan,nan,nan,nan,-0.8624,0.9925,0.0952,30.0,1.3679,84.0934,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254667610,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,34.645925655785206,nan,nan,nan,0.9967000000000003,-0.22488796303898367,2.7689725972064396,155.11740181039465,2.4110208686358443,3.362360097637029,nan,nan,nan,nan,nan,nan,-0.8972,0.9967,0.096,30.0,1.3679,86.0957,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254673059,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,35.45603919522397,nan,nan,nan,0.9997000000000003,-0.24558565986386022,2.7969628695549806,155.03762779428612,0.7728817376443805,2.211650487765543,nan,nan,nan,nan,nan,nan,-0.932,0.9997,0.0969,30.0,1.3679,88.0979,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254678601,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,36.27820286518603,nan,nan,nan,1.0015000000000003,-0.2663161567715779,2.825174329956014,154.99076489145946,-0.8665274181063306,1.063195624851786,nan,nan,nan,nan,nan,nan,-0.967,1.0015,0.0977,30.0,1.3679,90.1001,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254684298,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,37.11027548677867,nan,nan,nan,1.0020000000000002,-0.28704665367929577,2.853385790357048,154.97675751453724,-2.5065464232052848,-0.08488524039754738,nan,nan,nan,nan,nan,nan,-1.002,1.002,0.0985,30.0,1.3679,92.1023,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254689761,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,37.954189923621364,nan,nan,nan,1.0014000000000003,-0.30785906579144245,2.881539893114447,154.99567330067467,-4.146598395163086,-1.2345335128690844,nan,nan,nan,nan,nan,nan,-1.037,1.0014,0.0994,30.0,1.3679,94.1046,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254695368,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,38.80255581156518,nan,nan,nan,0.9994000000000002,-0.32858956269916023,2.909751353515481,155.04769859774254,-5.785858045122394,-2.3875308919373137,nan,nan,nan,nan,nan,nan,-1.072,0.9994,0.1002,30.0,1.3679,96.1068,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254700910,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,39.65814725894333,nan,nan,nan,0.9963000000000002,-0.349262701963243,2.937880898712086,155.13314575927626,-7.423739068291743,-3.545853223594387,nan,nan,nan,nan,nan,nan,-1.1069,0.9963,0.101,30.0,1.3679,98.109,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254706363,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,40.51999408394654,nan,nan,nan,0.9920000000000003,-0.3699030411444843,2.9657892558561976,155.25245340709145,-9.05956227079456,-4.711450697233169,nan,nan,nan,nan,nan,nan,-1.1416,0.992,0.1019,30.0,1.3679,100.1112,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254711722,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,41.38364468933667,nan,nan,nan,0.9864000000000004,-0.3904041074776617,2.993673055439516,155.406198253673,-10.692714636463815,-5.8863740594475455,nan,nan,nan,nan,nan,nan,-1.1762,0.9864,0.1027,30.0,1.3679,102.1135,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254717107,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,42.25079075711221,nan,nan,nan,0.9797000000000003,-0.4107331008799337,3.0213111094095475,155.59506660265677,-12.32231869244493,-7.072549638920366,nan,nan,nan,nan,nan,nan,-1.2105,0.9797,0.1035,30.0,1.3679,104.1157,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254722763,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,43.12056806842446,nan,nan,nan,0.9717000000000003,-0.4310292941993646,3.048727975327086,155.8199050696158,-13.947717209862505,-8.272141768491338,nan,nan,nan,nan,nan,nan,-1.2446,0.9717,0.1044,30.0,1.3679,106.1179,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254728469,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,43.99097068778586,nan,nan,nan,0.9626000000000003,-0.4510714993834611,3.0759564532749737,156.0816971093775,-15.568141758941943,-9.487329508552381,nan,nan,nan,nan,nan,nan,-1.2784,0.9626,0.1052,30.0,1.3679,108.1201,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254733968,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,44.86186267267453,nan,nan,nan,0.9523000000000004,-0.4709416316366524,3.102939185609574,156.38159204155792,-17.182869493346395,-10.720438387507915,nan,nan,nan,nan,nan,nan,-1.3119,0.9523,0.106,30.0,1.3679,110.1224,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254739390,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,45.733595560659694,nan,nan,nan,0.9408000000000003,-0.49066424851973206,3.1295368994828237,156.7208502787635,-18.79089513191377,-11.97370483125721,nan,nan,nan,nan,nan,nan,-1.345,0.9408,0.1069,30.0,1.3679,112.1246,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254745065,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,46.60353270294439,nan,nan,nan,0.9282000000000004,-0.5100181619802073,3.155782394977564,157.10094084911847,-20.391408716730883,-13.249657523438806,nan,nan,nan,nan,nan,nan,-1.3776,0.9282,0.1077,30.0,1.3679,114.1268,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254750788,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,47.47194346522768,nan,nan,nan,0.9144000000000003,-0.5291426448661423,3.1817002296545884,157.52349188607624,-21.983466030333414,-14.550884484704662,nan,nan,nan,nan,nan,nan,-1.4098,0.9144,0.1085,30.0,1.3679,116.129,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254756502,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,48.34038789053305,nan,nan,nan,0.8995000000000003,-0.5480622547383307,3.2071511306658333,157.99033811318384,-23.56614093769616,-15.880174018408153,nan,nan,nan,nan,nan,nan,-1.4415,0.8995,0.1094,30.0,1.3679,118.1313,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254761929,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,49.20563562767304,nan,nan,nan,0.8835000000000003,-0.5666131611879144,3.2322498132985693,158.50343486690042,-25.138201797493846,-17.24026067439346,nan,nan,nan,nan,nan,nan,-1.4727,0.8835,0.1102,30.0,1.3679,120.1335,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254767751,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,50.069313471438164,nan,nan,nan,0.8665000000000004,-0.5848199217756878,3.256857004704732,159.0650075845879,-26.69857721645269,-18.634236277743902,nan,nan,nan,nan,nan,nan,-1.5033,0.8665,0.111,30.0,1.3679,122.1357,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254773351,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,50.93103010190796,nan,nan,nan,0.8484000000000004,-0.6027070940624439,3.2808334320362564,159.67747062038893,-28.246029991665594,-20.065298639057964,nan,nan,nan,nan,nan,nan,-1.5332,0.8484,0.1119,30.0,1.3679,124.1379,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254778814,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,51.78847771628105,nan,nan,nan,0.8292000000000004,-0.620225562926596,3.304457640989272,160.34349349813758,-29.77930240772907,-21.536903937889512,nan,nan,nan,nan,nan,nan,-1.5626,0.8292,0.1127,30.0,1.3679,126.1402,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254784533,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,52.643463643322924,nan,nan,nan,0.8091000000000004,-0.6372851706416671,3.327426528306856,161.06587380734157,-31.29679955709398,-23.052481895082312,nan,nan,nan,nan,nan,nan,-1.5912,0.8091,0.1135,30.0,1.3679,128.1424,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254790221,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,53.49534736322249,nan,nan,nan,0.7879000000000004,-0.6540251900557215,3.3497646515498034,161.8477436965905,-32.79703690079206,-24.615885986814117,nan,nan,nan,nan,nan,nan,-1.6191,0.7879,0.1144,30.0,1.3679,130.1446,1.5,0.0,1.5,-125.0,180.0,-90.0
1789254795666,False,missing_prediction,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,54.342794068847944,nan,nan,nan,0.7658000000000004,-0.6702244331162659,3.371504810800954,162.69244449488767,-34.2783202301414,-26.23110874194254,nan,nan,nan,nan,nan,nan,-1.6462,0.7658,0.1152,30.0,1.3679,132.1468,1.5,0.0,1.5,-125.0,180.0,-90.0
